utterance,intent,category,tags,tagalog,similarity,needs_review,human_corrected_tagalog
I want to know about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Gusto kong malaman kung paano babaguhin ang direksiyon ng shipping,0.8303478956222534,False,
I need information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng impormasyon tungkol sa pagbabago ng direksiyon ng barko,0.6295353174209595,True,
can you give me information about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BI,Makapagbibigay ka ba sa akin ng impormasyon tungkol sa pagbabago sa direksiyon ng shipping?,0.8728205561637878,False,
I don't know what to do to modify the delivery address,change_shipping_address,SHIPPING_ADDRESS,BL,Hindi ko alam kung ano ang gagawin upang baguhin ang direksiyon ng panganganak,0.4176846146583557,True,
I want help changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Nais ko pong tulungan akong baguhin ang aking direksiyon ng shipping,0.8185614347457886,False,
I would like to know about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,BP,Nais kong malaman kung paano babaguhin ang direksiyon ng shipping,0.8260494470596313,False,
I want to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Gusto kong palitan ang direksiyon ng shipping,0.8079163432121277,False,
give me information about editing the delivery address,change_shipping_address,SHIPPING_ADDRESS,BL,Bigyan ako ng impormasyon tungkol sa pag - aayos ng direksiyon ng paghahatid,0.78339022397995,False,
want support trying to edit the shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQ,nais ng suporta na ayusin ang direksiyon ng shipping,0.7303125262260437,False,
the shipping address changed,change_shipping_address,SHIPPING_ADDRESS,B,nagbago ang direksiyon ng shipping,0.7537261247634888,False,
i have submitted a wrong delivery address can uupdatte it,change_shipping_address,SHIPPING_ADDRESS,BCILQZ,Isumite ng maling delivery address ang maaaring umeupdat dito,0.937750518321991,False,
help me correcting the delivery address,change_shipping_address,SHIPPING_ADDRESS,BL,ay tumutulong sa akin na ituwid ang direksiyon ng paghahatid,0.5821346640586853,True,
i want support updatng the address,change_shipping_address,SHIPPING_ADDRESS,BLQZ,Ayaw ng support updatting ang address,0.858489990234375,False,
how could I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,paano ko mababago ang aking direksiyon ng shipping?,0.7766908407211304,False,
i havesubmitted a wrong delivery address how do i correct it,change_shipping_address,SHIPPING_ADDRESS,BCILQZ,I-subsubged ang maling delivery address kung paano i-tama ito,0.9275732040405272,False,
tell me more about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,sabihin mo pa sa akin ang tungkol sa pagbabago ng direksiyon ng shipping,0.8483095169067383,False,
I want to know more about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,Gusto kong malaman ang higit pa tungkol sa pagbabago ng direksiyon ng barko,0.549504280090332,True,
can you help me to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Matutulungan mo ba akong baguhin ang direksiyon ng shipping?,0.8160140514373779,False,
i need assistance to update the delivery address,change_shipping_address,SHIPPING_ADDRESS,BLQ,kailangan ng tulong upang i-update ang address ng paghahatid,0.9734596014022828,False,
I want information about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Gusto ko ng impormasyon tungkol sa pagbabago ng direksiyon ng barko,0.5764795541763306,True,
I have got to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kinailangan kong baguhin ang aking direksiyon ng shipping,0.8465474843978882,False,
is it possible to edit the delivery address?,change_shipping_address,SHIPPING_ADDRESS,BIL,Puwede bang i - edit ang adres?,0.7880142331123352,False,
can you help me changing the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Matutulungan mo ba akong baguhin ang direksiyon ng shipping?,0.8252487182617188,False,
I want information about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Nais ko ng impormasyon tungkol sa pagbabago ng aking direksiyon ng shipping,0.8617091774940491,False,
I cannot update my delivery addrses,change_shipping_address,SHIPPING_ADDRESS,BELZ,Hindi ko ma-update ang aking mga adders,0.7531414031982422,False,
assistance trying to correct my delivery address,change_shipping_address,SHIPPING_ADDRESS,BL,Tulong sa pag - aayos ng aking direksiyon ng panganganak,0.4491721391677856,True,
change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,palitan ang direksiyon ng shipping,0.7870970964431763,False,
what do i need to do to edit the address,change_shipping_address,SHIPPING_ADDRESS,BILQ,kung ano ang kailangan kong gawin upang ayusin ang direksiyon,0.3778115510940552,True,
can you help me to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Matutulungan mo ba akong baguhin ang aking direksiyon ng shipping?,0.8205462098121643,False,
I need information about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng impormasyon tungkol sa pagbabago ng direksiyon ng barko,0.5982149243354797,True,
I cannot correct the delivery address,change_shipping_address,SHIPPING_ADDRESS,BEL,Hindi ko maituwid ang direksiyon ng paghahatid,0.7860889434814453,False,
i have tto update my delivery address can i get some help,change_shipping_address,SHIPPING_ADDRESS,BCILQZ,I magkaroon ng tto update ang aking delivery address ay makakakuha ng tulong,0.9563608169555664,False,
I have chosen a wrong shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Pinili ko ang maling direksiyon ng shipping,0.8414313197135925,False,
assistance with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,sa pagbabago ng direksiyon ng shipping,0.7931087017059326,False,
I want to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Nais kong baguhin ang aking direksiyon ng shipping,0.8290685415267944,False,
information about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,tungkol sa pagbabago ng direksiyon ng aking barko,0.4984194040298462,True,
I'm looking for information about modifying my address,change_shipping_address,SHIPPING_ADDRESS,BELQ,Naghahanap ako ng impormasyon tungkol sa pagbabago ng aking direksiyon,0.5441899299621582,True,
I want to know more about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Gusto kong malaman ang higit pa tungkol sa pagpapalit ng direksiyon ng barko,0.4994319677352905,True,
i have problems trying to correct my shipping address,change_shipping_address,SHIPPING_ADDRESS,BLMQ,may mga problema ako sa pag-ayos ng aking direksiyon ng shipping,0.8115304112434387,False,
question about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,tungkol sa pagbabago ng direksiyon ng shipping,0.7889535427093506,False,
I can't change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Hindi ko mababago ang aking direksiyon ng shipping,0.7868976593017578,False,
I need supports trying to edit my address,change_shipping_address,SHIPPING_ADDRESS,BLM,Kailangan ko ng mga suporta sa pag - aayos ng aking direksiyon,0.4473216533660888,True,
can you help me to correct the delivery address?,change_shipping_address,SHIPPING_ADDRESS,BIL,Matutulungan mo ba akong ituwid ang adres?,0.7589588165283203,False,
i need assistance trying to update my delivery address,change_shipping_address,SHIPPING_ADDRESS,BLQ,kailangan ng tulong para ma-update ang aking delivery address,0.9912822246551514,False,
I have an issue changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Mayroon akong isyu na binabago ang direksiyon ng shipping,0.8596034049987793,False,
I have a question about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,May tanong ako tungkol sa pagbabago ng direksiyon ng shipping,0.8269228935241699,False,
assistance editing my delivery address,change_shipping_address,SHIPPING_ADDRESS,BL,Pagtulong sa pag - aayos ng aking direksiyon ng panganganak,0.4368898868560791,True,
could you help me to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Matutulungan mo ba akong baguhin ang aking direksiyon ng shipping?,0.8308941125869751,False,
I nede support trying to correct the delivery address,change_shipping_address,SHIPPING_ADDRESS,BLZ,Sinusuportahan ko ang pagsisikap na ituwid ang pahayag,0.2471770495176315,True,
I am looking for information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,BE,Naghahanap ako ng impormasyon tungkol sa pagbabago ng direksiyon ng barko,0.6230930685997009,True,
tell me about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,tungkol sa pagbabago ng direksiyon ng shipping,0.775422990322113,False,
where to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,kung saan babaguhin ang direksiyon ng shipping?,0.7699612379074097,False,
could you help me to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Matutulungan mo ba akong baguhin ang direksiyon ng barko?,0.4826272428035736,True,
how could I change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,paano ko mababago ang direksiyon ng shipping?,0.7735535502433777,False,
can you help me changing my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Matutulungan mo ba akong baguhin ang direksiyon ng aking barko?,0.4694193303585052,True,
I do not know how I can change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BE,Hindi ko alam kung paano ko mababago ang aking direksiyon ng shipping,0.7851875424385071,False,
I do not know how to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BE,Hindi ko alam kung paano babaguhin ang direksiyon ng shipping,0.8056418895721436,False,
I have put my old address by mistake,change_shipping_address,SHIPPING_ADDRESS,B,Maling inilagay ko ang aking dating direksiyon,0.4089612960815429,True,
I cannot corrdct my shipping address,change_shipping_address,SHIPPING_ADDRESS,BELZ,Hindi ko mai - corrdct ang aking direksiyon ng shipping,0.8501026034355164,False,
need assistance to edit my delivery address,change_shipping_address,SHIPPING_ADDRESS,BLQ,Kailangan ang tulong upang ma - edit ang aking direksiyon ng panganganak,0.4936370849609375,True,
tell me more about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,sabihin mo pa sa akin ang tungkol sa pagbabago ng aking direksiyon ng shipping,0.8623690605163574,False,
I am trying to edit my address,change_shipping_address,SHIPPING_ADDRESS,BL,Sinisikap kong ayusin ang aking direksiyon,0.3375963866710663,True,
my shipping address changed,change_shipping_address,SHIPPING_ADDRESS,B,binago ang direksiyon ng shipping,0.7174724340438843,False,
is it possible to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,posible kayang baguhin ang aking direksiyon ng shipping?,0.7975524663925171,False,
i dont know hwat i need to do to edit the shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQZ,Hindi ko alam ang hiwat i kailangan gawin upang ayusin ang direksiyon ng shipping,0.6950281262397766,True,
I have to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan kong baguhin ang aking direksiyon ng shipping,0.8422296047210693,False,
i do not know what to do to correct my shipping  address,change_shipping_address,SHIPPING_ADDRESS,BELQZ,Hindi alam kung ano ang gagawin upang ituwid ang aking direksiyon ng shipping,0.790010929107666,False,
information about updating my shipping address,change_shipping_address,SHIPPING_ADDRESS,BL,tungkol sa pag - aayos sa direksiyon ng aking shipping,0.7211068868637085,False,
how do I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,paano ko ba binabago ang aking direksiyon ng shipping?,0.7902837991714478,False,
problem with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,problema sa pagbabago ng direksiyon ng barko,0.4777339100837707,True,
I have issues trying to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BM,May mga labas na sinisikap kong baguhin ang aking direksiyon ng shipping,0.7565892338752747,False,
I would like to know more about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,BP,Nais kong malaman ang higit pa tungkol sa pagbabago ng direksiyon ng barko,0.5488132238388062,True,
i have a trouble trying to modify the shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQ,Nahihirapan akong baguhin ang direksiyon ng shipping,0.7445378303527832,False,
how to correct my address?,change_shipping_address,SHIPPING_ADDRESS,BIL,kung paano ko itutuwid ang aking direksiyon?,0.3658113479614258,True,
i have errors trying to update the delivery address,change_shipping_address,SHIPPING_ADDRESS,BLMQ,May mga pagkakamali ako sa pag-update ng address,0.7803143262863159,False,
I have got to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kinailangan kong baguhin ang direksiyon ng shipping,0.8189384341239929,False,
tell me about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,sabihin mo sa akin ang tungkol sa pagbabago ng aking direksiyon ng shipping,0.8474076986312866,False,
I don't know what to do to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Hindi ko alam kung ano ang gagawin upang baguhin ang aking direksiyon ng shipping,0.8175780773162842,False,
I don't know how I can change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Hindi ko alam kung paano ko mababago ang aking direksiyon ng shipping,0.7921085357666016,False,
can you tell me more about changing my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Maaari mo bang sabihin sa akin ang higit pa tungkol sa pagbabago ng aking direksiyon ng shipping?,0.8693161010742188,False,
what do I need to do to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Ano ang kailangan kong gawin upang mabago ang aking direksiyon ng shipping?,0.8041946887969971,False,
assistance to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,tulong upang mabago ang direksiyon ng shipping,0.8026697635650635,False,
help changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,na baguhin ang direksiyon ng shipping,0.7824386358261108,False,
need to modify thedelivery address can uhelp me,change_shipping_address,SHIPPING_ADDRESS,BCILQZ,Ang pangangailangang baguhin ang direksiyon ng pagliligtas ay makatutulong sa akin,0.3053689301013946,True,
what do I have to do to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Ano ang kailangan kong gawin upang mabago ang direksiyon ng barko?,0.4284781813621521,True,
I try to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Sinisikap kong baguhin ang aking direksiyon ng shipping,0.8062049150466919,False,
I have an issue trying to correct the address,change_shipping_address,SHIPPING_ADDRESS,BL,Mayroon akong isyu na nagsisikap na ituwid ang direksiyon,0.3711897134780884,True,
give me information about a delivery address change,change_shipping_address,SHIPPING_ADDRESS,BL,bigyan ako ng impormasyon tungkol sa pagbabago sa direksiyon ng paghahatid,0.8738445043563843,False,
where do I change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Saan ko binabago ang direksiyon ng shipping?,0.7920670509338379,False,
give me information about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,nagbibigay sa akin ng impormasyon tungkol sa pagbabago ng direksiyon ng aking barko,0.5991897583007812,True,
I need help changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng tulong upang baguhin ang aking direksiyon ng shipping,0.8275249600410461,False,
I have issues trying to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BM,May mga labas na sinisikap kong baguhin ang direksiyon ng shipping,0.7449051141738892,False,
I don't know how I could change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BP,Hindi ko alam kung paano ko mababago ang direksiyon ng shipping,0.8071002960205078,False,
i want assistance to change the address,change_shipping_address,SHIPPING_ADDRESS,BLQ,Nais mo ng tulong upang baguhin ang direksiyon,0.4235730469226837,True,
give me information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,bigyan ako ng impormasyon tungkol sa pagbabago sa direksiyon ng shipping,0.8768504858016968,False,
there is a problem trying to correct the delivery address,change_shipping_address,SHIPPING_ADDRESS,BL,may problema sa pag - aayos ng direksiyon ng panganganak,0.4766484200954437,True,
need support correcting my goddamn delivery address,change_shipping_address,SHIPPING_ADDRESS,BLQW,kailangan ng suporta sa pagtutuwid ng aking diyosdamn delivery address,0.9237366914749146,False,
how can I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,paano ko mababago ang direksiyon ng aking barko?,0.4067220091819763,True,
where can I get information about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BI,Saan ako makakakuha ng impormasyon tungkol sa pagbabago sa direksiyon ng shipping?,0.8752152919769287,False,
support trying to correct my shipping address,change_shipping_address,SHIPPING_ADDRESS,BL,nagsisikap na ituwid ang aking direksiyon ng shipping,0.6789250373840332,True,
find information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,tingnan ang impormasyon tungkol sa pagbabago ng direksiyon ng shipping,0.8014432191848755,False,
error editing shipping address,change_shipping_address,SHIPPING_ADDRESS,BKL,error sa pag-aayos ng address ng shipping,0.919291853904724,False,
could you help me change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Matutulungan mo ba akong baguhin ang direksiyon ng shipping?,0.8324633836746216,False,
I don't know what to do to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Hindi ko alam kung ano ang gagawin upang palitan ang direksiyon ng shipping,0.8045909404754639,False,
i chose a wrong delivery address by mistake can i correct it,change_shipping_address,SHIPPING_ADDRESS,BCILQ,"Kahit mali ang pagkakasunud - sunod ng pahayag, maaari itong ituwid",0.2619585394859314,True,
i do not know how i can edit my address,change_shipping_address,SHIPPING_ADDRESS,BELQ,Hindi ko alam kung paano ko maaayos ang aking adres,0.8408177495002747,False,
where to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,kung saan ko babaguhin ang aking direksiyon ng shipping?,0.7925145626068115,False,
help me changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,ay nakatulong sa akin na baguhin ang direksiyon ng shipping,0.7697900533676147,False,
there are troubles updating the address,change_shipping_address,SHIPPING_ADDRESS,BLM,may mga problema sa pag - aayos ng direksiyon,0.3663997650146484,True,
I need help trying to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng tulong upang baguhin ang aking direksiyon ng shipping,0.8075888156890869,False,
can you help me change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Matutulungan mo ba akong baguhin ang direksiyon ng shipping?,0.8241945505142212,False,
I would like to know about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,BP,Nais kong malaman kung paano babaguhin ang aking direksiyon ng shipping,0.8442239761352539,False,
tell me about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,sabihin mo sa akin ang tungkol sa pagpapalit ng direksiyon ng shipping,0.8182384967803955,False,
can I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Mababago ko ba ang direksiyon ng aking shipping?,0.796048641204834,False,
there is a problem updating my shipping address,change_shipping_address,SHIPPING_ADDRESS,BL,may problema sa pag - aayos ng aking direksiyon ng shipping,0.7768421173095703,False,
I do not knlw what I have to do to correct the address,change_shipping_address,SHIPPING_ADDRESS,BELZ,Hindi ko na alam kung ano ang kailangan kong gawin upang maituwid ang direksiyon,0.4055179059505462,True,
I need assistance to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng tulong upang mabago ang direksiyon ng shipping,0.8358938694000244,False,
where could I change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Saan ko mababago ang direksiyon ng shipping?,0.7691330909729004,False,
where could I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Saan ko maaaring baguhin ang direksiyon ng aking barko?,0.4808003306388855,True,
I would like to know more about changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,BP,Nais kong malaman ang higit pa tungkol sa pagpapalit ng aking direksiyon ng shipping,0.8187588453292847,False,
issues changing shipping address,change_shipping_address,SHIPPING_ADDRESS,BKM,na baguhin ang direksiyon ng shipping,0.7815044522285461,False,
I can't change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Hindi ko mababago ang direksiyon ng shipping,0.7816846370697021,False,
I am trying to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Sinisikap kong baguhin ang aking direksiyon ng shipping,0.8018642067909241,False,
I am trying to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Sinisikap kong baguhin ang direksiyon ng shipping,0.7879000902175903,False,
change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Palitan ang aking direksiyon ng shipping,0.8156998157501221,False,
how to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,kung paano ko babaguhin ang aking direksiyon ng shipping?,0.7950586080551147,False,
could you help me changing my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Matutulungan mo ba akong baguhin ang direksiyon ng aking barko?,0.4926502406597137,True,
I put my old address by mistake,change_shipping_address,SHIPPING_ADDRESS,B,Inilagay ko ang aking dating direksiyon sa pagkakamali,0.5509946942329407,True,
where do I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Saan ko binabago ang direksiyon ng aking shipping?,0.8045910000801086,False,
assistance changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,baguhin ang aking direksiyon ng shipping,0.8206282258033752,False,
I have troubles trying to modify the address,change_shipping_address,SHIPPING_ADDRESS,BLM,Nahihirapan akong baguhin ang direksiyon,0.348110020160675,True,
I want assistance changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Nais ko ng tulong upang baguhin ang aking direksiyon ng shipping,0.8550993204116821,False,
where can I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,saan ko mababago ang direksiyon ng aking barko?,0.4265118241310119,True,
I need to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan kong baguhin ang aking direksiyon ng shipping,0.8352207541465759,False,
i have issues trying to correct my shipping address,change_shipping_address,SHIPPING_ADDRESS,BLMQ,Ako ay may mga labas na sinusubukang ituwid ang aking direksiyon ng shipping,0.6955211758613586,True,
I have chosen a wrong shipping address by mistake,change_shipping_address,SHIPPING_ADDRESS,B,Mali ang pinili kong adres,0.7104654312133789,False,
how can I get information about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BI,Paano ako makakakuha ng impormasyon tungkol sa pagbabago sa direksiyon ng barko?,0.6722211241722107,True,
could I change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Maaari ko bang baguhin ang direksiyon ng aking shipping?,0.8464754819869995,False,
I have an issue trying to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Mayroon akong labas na sinisikap baguhin ang direksiyon ng shipping,0.7758423089981079,False,
I want ot update the address,change_shipping_address,SHIPPING_ADDRESS,BLZ,Gusto kong i-update ang address,0.9167269468307496,False,
I need help trying to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng tulong upang baguhin ang direksiyon ng shipping,0.8002068996429443,False,
I would like information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,BP,Nais ko ng impormasyon tungkol sa pagbabago ng direksiyon ng shipping,0.8496661186218262,False,
I don't know how I could change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BP,Hindi ko alam kung paano ko mababago ang aking direksiyon ng shipping,0.8075532913208008,False,
could you help me changing the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP,Matutulungan mo ba akong baguhin ang direksiyon ng barko?,0.4807707667350769,True,
what do I have to do to change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Ano ang kailangan kong gawin upang mabago ang aking direksiyon ng shipping?,0.7942250967025757,False,
my shipping address has changed,change_shipping_address,SHIPPING_ADDRESS,B,nagbago na ang direksiyon ng shipping,0.7013617753982544,False,
i want support trying to update my delivery address,change_shipping_address,SHIPPING_ADDRESS,BLQ,Nais ko ng suporta upang i-update ang aking delivery address,0.976407527923584,False,
tell me more about updating my address,change_shipping_address,SHIPPING_ADDRESS,BL,sabihin mo pa sa akin ang tungkol sa pag - alam sa direksiyon ng aking tirahan,0.4330875873565674,True,
I would like to know about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,BP,Nais kong malaman ang tungkol sa pagbabago ng direksiyon ng shipping,0.8092132806777954,False,
want assistance trying to correct my shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQ,ay nagnanais ng tulong upang maituwid ang aking direksiyon ng shipping,0.8079943060874939,False,
where to change the delivery address?,change_shipping_address,SHIPPING_ADDRESS,BIL,kung saan babaguhin ang direksiyon ng paghahatid?,0.7074582576751709,False,
I do not know what to do to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BE,Hindi ko alam kung ano ang gagawin upang palitan ang direksiyon ng shipping,0.7977613210678101,False,
the shipping address has changed can uchange it,change_shipping_address,SHIPPING_ADDRESS,BCIQ,maaaring baguhin ito ng direksiyon ng shipping,0.7435352802276611,False,
i want supports modifying my address,change_shipping_address,SHIPPING_ADDRESS,BLMQ,Nais ng mga suporta na binabago ang aking direksiyon,0.4848197996616363,True,
I want to know about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,Gusto kong malaman ang tungkol sa pagbabago ng direksiyon ng shipping,0.8078370094299316,False,
I have a problem with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,May problema ako sa pagbabago ng direksiyon ng shipping,0.8147879838943481,False,
I need assistance to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng tulong upang baguhin ang aking direksiyon ng shipping,0.8430113196372986,False,
help changing my address,change_shipping_address,SHIPPING_ADDRESS,BL,na baguhin ang aking direksiyon,0.3409807085990906,True,
what do I need to do to change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Ano ang kailangan kong gawin upang mabago ang direksiyon ng shipping?,0.790556788444519,False,
I need assistance with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng tulong sa pagbabago ng direksiyon ng barko,0.5432958602905273,True,
how can I find information about editing the damn address ?,change_shipping_address,SHIPPING_ADDRESS,BILWZ,paano ako makahahanap ng impormasyon tungkol sa pag-aayos ng damn address ?,0.912481427192688,False,
I need help with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B,Kailangan ko ng tulong sa pagbabago ng direksiyon ng shipping,0.8008981943130493,False,
help trying to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,na baguhin ang aking direksiyon ng shipping,0.7607024312019348,False,
want supports trying to change my damn address,change_shipping_address,SHIPPING_ADDRESS,BLMQW,Nais ng mga alalay upang baguhin ang aking damn address,0.8575875759124756,False,
assistance to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B,tulong upang baguhin ang aking direksiyon ng shipping,0.8229287266731262,False,
how do I modify my delivery address?,change_shipping_address,SHIPPING_ADDRESS,BIL,paano ko binabago ang aking direksiyon ng panganganak?,0.3263672590255737,True,
there are problems updating the delivery address,change_shipping_address,SHIPPING_ADDRESS,BLM,may mga problema sa pag - aayos sa direksiyon ng paghahatid,0.7365611791610718,False,
I have issues updating my address,change_shipping_address,SHIPPING_ADDRESS,BLM,Mayroon akong mga labas na tumatalakay sa aking direksiyon,0.1867909431457519,True,
give me information about changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,bigyan ako ng impormasyon tungkol sa pagbabago ng direksiyon ng shipping,0.8778712749481201,False,
I put the old address by mistake,change_shipping_address,SHIPPING_ADDRESS,B,Mali kong inilagay ang dating direksiyon,0.3281704485416412,True,
I cannot change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BE,Hindi ko na mababago ang direksiyon ng aking barko,0.4463936984539032,True,
help me correct my delivery address,change_shipping_address,SHIPPING_ADDRESS,BL,ay tumulong sa akin na ituwid ang aking direksiyon ng panganganak,0.3243348598480224,True,
wanna update the address,change_shipping_address,SHIPPING_ADDRESS,BLQ,wanna i-update ang address,0.9942284822463988,False,
I need information about modifying the address,change_shipping_address,SHIPPING_ADDRESS,BL,Kailangan ko ng impormasyon tungkol sa pagbabago ng direksiyon,0.5550212264060974,True,
i have got to change the delivery address i need help,change_shipping_address,SHIPPING_ADDRESS,BCLQ,Kailangan kong palitan ang adres na kailangan ko ng tulong,0.7683550715446472,False,
how can I find information about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BI,Paano ako makasusumpong ng impormasyon tungkol sa pagbabago sa direksiyon ng barko?,0.6178915500640869,True,
help me change the shipping address,change_shipping_address,SHIPPING_ADDRESS,B,ay nakatulong sa akin na baguhin ang direksiyon ng shipping,0.7711906433105469,False,
can I change the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI,Mababago ko ba ang direksiyon ng shipping?,0.8008311986923218,False,
